Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Vagabond Knight Gauntlets,,-,Arm,Gauntlets of a banished knight,"Gauntlets of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey. Metal armor is heavy, but also sturdy, offering significant damage negation.",3.5,3.3,2.8,3.1,2.9,2.5,2.7,2.1,2.1,12,19,-,8,-,8,3,100,White,Yes,660200,66,0200,14012,14012,2,70,706010,-1,-1,-1,
Carian Knight Gauntlets,,-,Arm,Gauntlets of enchanted Carian knights,"Gauntlets of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all heroes of the highest honors, but fell into disarray with the decline of the royal family.",3.5,2.9,2.7,3.1,2.9,3.1,2.9,2.3,2.9,9,15,-,7,-,8,3,500,White,Yes,980200,98,0200,14642,14642,2,70,706020,-1,-1,-1,
Godrick Knight Gauntlets,,-,Arm,Gauntlets used by Stormveil Elite Knights,Gauntlets worn by knights loyal to Godrick the Grafted. Time has yet to dull their luster.,3.9,3.3,2.9,3.5,3.2,2.7,2.9,2.3,2.7,12,19,-,8,-,8,4,200,Purple,Yes,1770200,177,0200,15092,15092,2,70,706030,-1,-1,-1,
Cuckoo Knight Gauntlets,,-,Arm,Gauntlets of Raya Lucaria Academy Elite Knights,Gauntlets worn by Raya Lucaria Academy knights. Time has yet to dull their luster.,3.9,3.3,2.8,3.6,3.3,3.1,2.9,2.1,2.5,11,19,-,8,-,8,4,200,Purple,Yes,1780200,178,0200,15112,15112,2,70,706040,-1,-1,-1,
Redmane Knight Gauntlets,,-,Arm,Gauntlets used by Elite Caelid Wilds Knights,Black iron gauntlets worn by knights who fought by General Radahn's side. Time has yet to dull their luster.,3.9,3.5,2.8,3.3,3.1,2.7,3.1,2.3,2.7,12,18,-,8,-,8,4,200,Purple,Yes,1800200,180,0200,15152,15152,2,70,706050,-1,-1,-1,
Gelmir Knight Gauntlets,,-,Arm,Gauntlets used by Capital Knights,Gauntlets worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster.,3.9,3.3,2.8,3.5,3.3,2.7,3.1,2.5,2.7,12,18,-,8,-,8,4,100,Purple,Yes,1760200,176,0200,15072,15072,2,70,706060,-1,-1,-1,
Leyndell Knight Gauntlets,,-,Arm,Gauntlets used by Elite Capital Knights,Gauntlets worn by knights sworn to defend the royal capital of Leyndell. Time has yet to dull their luster.,3.9,3.3,3.1,3.3,3.3,2.5,2.8,2.5,2.7,12,19,-,8,-,8,4,200,Purple,Yes,1790200,179,0200,15132,15132,2,70,706070,-1,-1,-1,
Haligtree Knight Gauntlets,,-,Arm,Gauntlets used by Elite Knights of Miquella,Gauntlets worn by knights sworn to the Haligtree. Time has yet to dull their luster.,3.9,3.3,3.1,3.3,3.3,2.5,2.8,2.3,2.8,12,19,-,8,-,8,4,200,Purple,Yes,1820200,182,0200,15192,15192,2,70,706080,-1,-1,-1,
Mausoleum Knight Gauntlets,,-,Arm,Gauntlets used by Elite Mausoleum Knights,Gauntlets worn by headless knights who endlessly guard the Wandering Mausoleum. Time has yet to dull their luster.,3.9,3.3,2.8,3.6,3.2,2.7,2.8,2.5,2.8,12,18,-,8,-,8,4,200,White,Yes,1810200,181,0200,15172,15172,2,70,706090,-1,-1,-1,
Bloodhound Knight Gauntlets,,-,Arm,Beast-like gauntlets of the Bloodhound Knights,"Metal gauntlets of the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",3.5,3.1,2.8,3.5,3.3,2.3,2.5,1.7,2.5,11,17,-,8,-,8,3,1000,Purple,Yes,790200,79,0200,14212,14212,2,70,706100,-1,-1,-1,
Cleanrot Gauntlets,,-,Arm,Gauntlets of a Wing Knight. Somewhat decayed...,"Gauntlets of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",5.0,3.6,3.3,4.0,4.4,3.1,3.2,2.8,3.3,21,22,-,9,-,11,5,200,Purple,Yes,340200,34,0200,13482,13482,2,70,706110,-1,-1,-1,
Raging Wolf Gauntlets,,-,Arm,Gauntlets of Vargram the Bloody Wolf,"Gauntlets worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. According to the old legends, wolves are the shadows of the Empyrean, and this is what Vargram aspired to be.",3.4,3.2,2.8,3.2,3.1,2.4,2.7,1.6,2.2,11,19,-,6,-,6,3,200,Purple,Yes,860200,86,0200,14372,14372,2,80,707000,-1,-1,-1,
Hoslow's Gauntlets,,-,Arm,Gauntlets passed down through the Hoslow family,"Garish silver gauntlets decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion.""",3.9,3.5,2.9,3.3,3.1,2.7,2.9,2.5,2.5,13,20,-,8,-,8,4,3000,Purple,Yes,650200,65,0200,13992,13992,2,80,707010,-1,-1,-1,
Twinned Gauntlets,,-,Arm,"Gauntlets worn by D, Knight of the Golden Order","Gauntlets depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.",3.9,3.3,3.1,3.6,2.9,2.8,2.8,2.1,2.5,11,18,-,7,-,18,4,1000,Purple,Yes,600200,60,0200,13882,13882,2,80,707020,-1,-1,-1,
Drake Knight Gauntlets,,-,Arm,Malformed gauntlets fused with dragon flesh,"Black iron gauntlets worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe.",3.1,2.8,2.3,2.9,2.8,2.5,2.8,2.1,2.5,8,15,-,7,-,7,3,500,Purple,Yes,60200,6,0200,13022,13022,2,80,707030,-1,-1,-1,
Blaidd's Gauntlets,,-,Arm,"Gauntlets of Blaidd, Knight of Ranni","Well-worn black gauntlets of the man-wolf Blaidd. Blaidd, who served as Ranni's shadow, was a loyal ally who would defy destiny itself if it would have him turn upon his Lady.",4.6,3.6,3.2,3.6,3.8,2.8,3.2,2.7,2.9,13,21,-,8,-,8,5,500,Purple,Yes,170200,17,0200,13172,13172,2,80,707040,-1,-1,-1,
Briar Gauntlets,,-,Arm,Gauntlets worn by Condor Knights,"Battered gauntlets from a foreign land. Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty, and typically indicate a sentence of death. Elemer murdered numerous instructors and merchants, and was known as the Bell Bearing Hunter.",3.9,3.2,2.8,3.3,3.1,2.7,3.1,2.1,2.7,12,24,-,8,-,8,3,500,Purple,Yes,210200,21,0200,13242,13242,2,80,707050,6021020,-1,-1,
Fingerprint Gauntlets,,-,Arm,Deformed gauntlets of a mad knight in despair,"Iron gauntlets singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?",3.5,3.3,2.9,2.9,2.9,2.3,3.1,1.6,2.3,11,20,-,4,-,8,4,500,Purple,Yes,950200,95,0200,14572,14572,2,80,707060,-1,-1,-1,
Royal Remains Gauntlets,,-,Arm,Gauntlets that mediate via body of famed ancestor,"Gauntlets graced with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing. Slowly replenishes HP when HP is reduced. It is said that the bones belong to an ancient lord―the soulless king. The lord of the lost and desperate, who was known as Ensha.",3.5,2.9,2.8,3.2,2.9,2.3,2.5,1.9,2.1,12,19,-,8,-,4,3,500,Purple,Yes,690200,69,0200,14062,14062,2,80,707070,6069020,-1,-1,
All-Knowing Gauntlets,,-,Arm,"Gauntlets of Gideon Ofnir, the All-Knowing","Gauntlets set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",3.5,3.2,2.9,3.3,2.9,3.1,2.3,2.5,2.1,9,15,-,7,-,7,4,1000,Purple,Yes,590200,59,0200,13862,13862,2,80,707080,-1,-1,-1,
Royal Knight Gauntlets,,-,Arm,Gauntlets of an Arbor Sentinel,"Silver gauntlets of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.",5.2,4.0,3.6,4.4,4.2,3.5,3.3,3.1,3.2,17,22,-,12,-,12,5,1000,White,Yes,280200,28,0200,13372,13372,2,80,707090,-1,-1,-1,
Maliketh's Gauntlets,,-,Arm,Gauntlets of Maliketh the Black Blade,"Beast's gauntlets made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",4.3,3.3,2.9,3.5,3.3,2.7,2.8,2.3,3.2,12,19,-,8,-,17,4,2000,White,Yes,760200,76,0200,14152,14152,2,80,707100,-1,-1,-1,
Banished Knight Gauntlets,,-,Arm,"Knight's gauntlets, worn by salt winds and battle","Thick, full set of armor covering the entire body. These gauntlets were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",5.8,4.7,3.7,4.9,4.4,3.3,3.3,3.2,3.3,20,28,-,13,-,14,6,100,White,Yes,200200,20,0200,13222,13222,2,90,708000,-1,-1,-1,
Night's Cavalry Gauntlets,,-,Arm,Gauntlets covered in blackened bloodstains,"Pitch-black gauntlets thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",4.3,3.5,3.2,3.5,3.3,2.7,3.1,2.7,3.1,13,19,-,8,-,8,4,500,White,Yes,230200,23,0200,13282,13282,2,90,708010,-1,-1,-1,
Veteran's Gauntlets,,-,Arm,Veteran General's old gauntlets,"Old gauntlets that have seen many battles. Worn by Niall, the veteran general of Sol. Niall was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away.",6.3,4.7,4.3,4.7,4.4,3.3,3.5,3.2,3.3,21,30,-,15,-,15,8,1000,White,Yes,780200,78,0200,14192,14192,2,90,708020,-1,-1,-1,
Scaled Gauntlets,,-,Arm,Gauntlets made from layered ancient dragon scales,"Gauntlets worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survive to this day.",5.3,4.0,3.4,4.2,4.0,3.3,3.5,3.2,3.3,19,28,-,13,-,13,6,500,White,Yes,80200,8,0200,13042,13042,2,90,708030,-1,-1,-1,
Beast Champion Gauntlets,,-,Arm,Gauntlets of Belnahr the Traitor,"Silver gauntlets engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire.",5.8,4.4,4.1,4.7,4.6,3.2,3.4,3.2,3.3,19,30,-,14,-,13,6,200,White,Yes,720200,72,0200,14102,14102,2,90,708040,-1,-1,-1,
Tree Sentinel Gauntlets,,-,Arm,Gauntlets of a Tree Sentinel,"Golden gauntlets of the heavy cavalry Tree Sentinels who serve the Erdtree. Imposingly sturdy and nigh unbreakable, the grace of old yet lingers.",6.3,4.7,3.7,4.7,4.4,3.2,4.3,3.1,3.5,22,30,-,14,-,15,6,1000,White,Yes,270200,27,0200,13352,13352,2,90,708050,-1,-1,-1,
Malformed Dragon Gauntlets,,-,Arm,"Malformed, golden gauntlets used by Gnarrl","Malformed golden gauntlets. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves.",5.3,4.2,3.7,4.4,4.2,3.2,3.2,3.4,3.2,19,25,-,13,-,13,6,1000,Purple,Yes,260200,26,0200,13342,13342,2,90,708060,-1,-1,-1,
Crucible Gauntlets,,-,Arm,Gauntlets used by the Crucible Knights,"Gauntlets of the Crucible Knights who served Godfrey, the first Elden Lord. Hold the power of the crucible of life, the primordial form of the Erdtree. Strengthen Aspects of the Crucible incantations. In time, the strength shown by these knights, and even their appearance, was seen as chaotic and deserving of scorn.",5.2,4.4,3.4,4.2,4.2,3.2,3.2,2.8,3.3,17,24,-,12,-,12,6,1000,White,Yes,570200,57,0200,13802,13802,2,90,708070,6057020,-1,-1,
Radahn's Gauntlets,,-,Arm,"Gauntlets of Radahn, God of War","Gauntlets depicting the golden lion. Worn by General Radahn. The golden lion is said to symbolize Godfrey, the first Elden Lord, and his beast regent, Serosh. From his youngest years, Radahn was naturally captivated by the Lord of the Battlefield.",5.8,4.7,3.7,4.6,4.4,3.3,3.5,3.1,3.3,20,33,-,14,-,13,6,2000,White,Yes,470200,47,0200,13672,13672,2,90,708080,-1,-1,-1,
Lionel's Gauntlets,,-,Arm,Oddly shaped gauntlets used by foreign knights,"Rounded iron gauntlets. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",7.1,4.4,4.1,4.9,5.0,3.3,3.7,3.2,3.3,21,33,-,14,-,17,8,500,White,Yes,640200,64,0200,13972,13972,2,100,709000,-1,-1,-1,
Bull-Goat Gauntlets,,-,Arm,Great Horned Tragoth's gauntlets,"Great Horned Tragoth's gauntlets, adorned with a gold bull-goat motif. Provide high poise. Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid.",8.8,5.2,5.2,4.6,4.6,3.3,3.3,3.7,3.2,24,28,-,15,-,18,10,500,White,Yes,140200,14,0200,13132,13132,2,100,709010,-1,-1,-1,
Omen Gauntlets,,-,Arm,Gauntlets of a curse gnawed Omen,"Malformed gauntlets resembling an Omen with its horns cut off. Worn by the Dung Eater, their form is a vision of the landscape of his mind, and of his appearance as he wished to see it. The heart of an Omen without the body to match; could there be any crueler existence? What does it matter, then, if the curse claims it all?",7.7,4.6,3.7,4.7,4.7,3.2,3.6,3.7,3.4,22,21,-,19,-,25,9,500,Purple,Yes,970200,97,0200,14632,14632,2,100,709020,6097020,6097021,-1,
Fire Prelate Gauntlets,,-,Arm,Fire Prelate gauntlets which resemble flames,"Black iron gauntlets with the appearance of flames. Attire of the Fire Prelates, commanders of the Fire Monks. The weighty frames of the Prelates symbolized the onus of their grave vows as guardians of the flame. ""Etch this sight upon thine breast. Of my thunderous gravity.""",8.2,4.9,4.3,4.6,4.6,3.3,5.0,3.2,3.3,22,21,-,30,-,17,9,500,Purple,Yes,360200,36,0200,13522,13522,2,100,709030,-1,-1,-1,
Ragged Gloves,,-,Arm,Gauntlets pieced together from scavenged metal,Gauntlets pieced together from scavenged metal.,2.9,2.3,2.5,2.3,2.3,2.7,2.8,2.9,2.7,21,14,-,18,-,18,2,100,White,No,610200,61,0200,13902,13902,2,255,999999,-1,-1,-1,
Brave's Bracer,,-,Arm,Gauntlets of a warrior of the frigid uplands,Gauntlets wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.,0.8,0.6,0.6,0.6,0.1,3.1,2.8,2.9,3.1,12,6,-,20,-,20,0,500,White,No,700200,70,0200,14072,14072,2,255,999999,-1,-1,-1,
Millicent's Gloves,,-,Arm,Gloves worn by Millicent the Rotting,Gloves worn by Millicent the Rotting,1.1,1.0,1.0,1.0,0.6,3.1,2.9,3.1,3.1,13,7,-,21,-,21,0,500,White,No,1950200,195,0200,15362,15362,2,255,999999,-1,-1,-1,
Golden Prosthetic,,-,Arm,Golden prosthetic forged using ancient techniques,Golden prosthetic forged using ancient techniques,2.8,1.5,1.5,1.5,1.3,3.2,3.1,3.2,3.2,15,8,-,25,-,25,1,500,White,No,1970200,197,0200,15372,15372,2,255,999999,-1,-1,-1,
Cloth Trousers,,-,Leg,Trousers made of rough material,"Trousers made of coarse material, commonly worn in the Lands Between.",2.0,3.0,2.3,1.5,2.3,7.3,7.1,6.8,7.1,26,14,-,37,-,37,1,10,White,Yes,160300,16,0300,13163,13163,3,10,800000,-1,-1,-1,
Traveler's Boots,,-,Leg,Skirt worn by Malenia,Light yet sturdy leather boots. Worn by young women who set off into the world to confront their fate.,3.1,3.8,3.4,3.0,2.3,7.7,7.3,7.4,7.2,24,15,-,47,-,47,1,100,White,Yes,1020300,102,0300,14763,14763,3,10,800010,-1,-1,-1,
Commoner's Shoes,,-,Leg,Waistcloth of a rune cursed citizen,"Modest shoes made of cloth. Standard wear for commoners of the Lands Between. Only, there are no commoners remaining with their wits about them.",2.0,1.5,3.0,3.0,2.3,7.1,6.5,6.8,7.1,22,14,-,39,-,41,1,10,White,Yes,810300,81,0300,14263,14263,3,10,800020,-1,-1,-1,
Aristocrat Boots,,-,Leg,"Aristocrat boots, made of thick leather","Boots made from tanned leather. Travel attire worn by nobles in the capital. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",2.9,4.3,4.8,4.3,4.3,3.6,3.8,4.3,3.6,29,21,-,23,-,19,1,10,White,Yes,370300,37,0300,13543,13543,3,10,800030,-1,-1,-1,
Old Aristocrat Shoes,,-,Leg,Aristocrat shoes made from sturdy leather,"Hard-wearing shoes made of leather. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",2.0,3.4,3.4,3.0,3.4,4.5,5.0,4.5,3.4,22,15,-,17,-,20,1,10,White,Yes,390300,39,0300,13573,13573,3,10,800040,-1,-1,-1,
Page Trousers,,-,Leg,Trousers worn by pages,"Trousers worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",2.5,3.4,3.0,2.3,2.3,7.2,7.1,7.3,7.3,24,13,-,44,-,44,1,200,Purple,Yes,220300,22,0300,13263,13263,3,10,800050,-1,-1,-1,
Guardian Greaves,,-,Leg,Greaves worn by the people of rotted abundance,"Engraved golden greaves. Worn by the guardians of the Minor Erdtrees. In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",5.5,6.2,5.8,5.8,5.4,6.8,6.5,6.8,6.8,47,31,-,37,-,35,3,100,White,Yes,330300,33,0300,13463,13463,3,10,800060,-1,-1,-1,
Prisoner Trousers,,-,Leg,Tattered trousers,"Tattered trousers. Worn by a prisoner convicted of an appalling crime. Never once washed, every fiber is filthy. The smell is beyond belief.",2.0,2.3,3.0,3.0,2.3,6.8,6.5,6.5,7.2,26,14,-,39,-,39,1,100,White,Yes,890300,89,0300,14443,14443,3,10,800070,-1,-1,-1,
Mushroom Legs,,-,Leg,Leg wraps with slime mold growing on it,"Mushrooms found growing all over the body. These overgrown mushrooms have colonized the legs. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",3.1,3.4,4.0,1.5,3.0,7.6,3.0,7.3,7.4,63,15,-,56,-,47,1,100,White,Yes,1130300,113,0300,14943,14943,3,10,800080,-1,-1,-1,
Astrologer Trousers,,-,Leg,Trousers of the glintstone polishers,"Trousers worn inside a robe. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",3.9,3.8,3.4,3.4,3.4,7.7,7.4,7.6,7.4,31,15,-,56,-,47,3,100,White,Yes,630300,63,0300,13953,13953,3,20,801000,-1,-1,-1,
Sorcerer Leggings,,-,Leg,Leggings worn by Raya Lucaria's magic scholars,Leggings worn by Raya Lucaria's scholars of sorcery. Made by wrapping a simple cloth around the legs.,2.0,2.3,3.0,3.0,0.3,7.3,7.1,6.8,7.2,24,7,-,39,-,37,1,100,White,Yes,830300,83,0300,14313,14313,3,20,801010,-1,-1,-1,
Battlemage Legwraps,,-,Leg,Waistcloth of an unaffiliated glintstone sorcerer,"Legwraps worn by scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield.",2.5,3.0,3.4,2.3,3.0,7.4,6.8,7.1,7.2,26,14,-,39,-,44,1,500,White,Yes,1000300,100,0300,14683,14683,3,20,801020,-1,-1,-1,
Errant Sorcerer Boots,,-,Leg,Shoes worn by a great sorcerer turned hermit,"Commonplace leather boots, sturdy enough to withstand a long journey.",3.1,3.0,3.0,3.8,3.0,7.6,7.3,7.2,7.6,24,15,-,47,-,51,1,500,White,Yes,990300,99,0300,14663,14663,3,20,801030,-1,-1,-1,
Spellblade's Trousers,,-,Leg,Glintstone sorcerer Rogier's Trousers,"Glintstone sorcerer Rogier's trousers, graced with an intricate, aristocratic decoration. Strengthen glintstone sorcery skills. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",2.6,2.9,2.2,2.9,2.9,7.3,6.7,7.0,7.3,25,13,-,38,-,41,1,200,White,Yes,130300,13,0300,13113,13113,3,20,801040,6013030,-1,-1,
Alberich's Trousers,,-,Leg,Boots of a defected glintstone sorcerer,Mad Tongue Alberich's trousers. Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.,2.5,3.0,2.3,3.0,3.0,7.3,6.8,7.2,7.3,26,14,-,41,-,44,1,200,White,Yes,120300,12,0300,13093,13093,3,20,801050,-1,-1,-1,
Preceptor's Trousers,,-,Leg,Boots worn by ruthless Chaplains,Trousers of the magic preceptors who serve the Carian royals. Black and perfectly discreet.,3.9,3.4,3.8,3.4,3.4,8.3,7.6,7.3,7.3,31,15,-,51,-,47,2,200,White,Yes,910300,91,0300,14503,14503,3,20,801060,-1,-1,-1,
Old Sorcerer's Legwraps,,-,Leg,Dull red waistcloth of a Crystal Sorcerer,Ragged waistcloth that extends to the thighs. Common amongst old-fashioned sorcerers.,2.5,3.4,1.5,3.4,1.5,8.1,6.8,7.2,7.3,24,13,-,39,-,44,1,1000,White,Yes,580300,58,0300,13843,13843,3,20,801070,-1,-1,-1,
Queen's Leggings,,-,Leg,"Trousers of Rennala, the Full Moon Witch","Leggings indicating the highest order of sorcerer. Worn by Rennala, Queen of the Full Moon. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all.",2.0,2.3,1.5,1.5,0.3,7.6,6.8,7.1,7.3,22,14,-,37,-,41,1,2000,White,Yes,510300,51,0300,13713,13713,3,20,801080,-1,-1,-1,
Snow Witch Skirt,,-,Leg,Skirt worn by Enchantress Ranni,"Witch's skirt in the color of snow. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor.",3.1,3.0,3.4,3.4,2.3,7.4,7.4,7.3,7.4,24,20,-,44,-,44,1,1000,White,Yes,1010300,101,0300,14743,14743,3,20,801090,-1,-1,-1,
Prophet Trousers,,-,Leg,Trousers of the exiled prophets,Trousers of exiled prophets who foretold misfortune—and were persecuted and driven from their homes as a result. Made from rough fabric that scrapes against the skin like a sharpening file.,3.1,3.0,3.4,3.4,3.0,7.6,7.3,7.2,7.6,26,14,-,47,-,51,1,100,White,Yes,620300,62,0300,13923,13923,3,20,801100,-1,-1,-1,
Traveling Maiden Boots,,-,Leg,Skirt worn by traveling clerics,"Boots worn by traveling maidens. Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.",2.9,3.1,3.5,3.5,2.4,7.7,7.4,7.5,7.7,29,15,-,47,-,51,1,10,White,Yes,900300,90,0300,14463,14463,3,20,801110,-1,-1,-1,
Finger Maiden Shoes,,-,Leg,Skirt worn by Saints,"Shoes worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",2.5,3.0,2.3,2.3,1.5,7.6,7.2,7.3,7.6,24,13,-,39,-,39,1,500,White,Yes,902300,90,2300,14482,14482,3,20,801120,-1,-1,-1,
Sage Trousers,,-,Leg,Waistcloth of travelling musician gripped by death,Thick burgundy trousers. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.,2.5,3.4,3.0,3.0,1.5,7.6,7.1,7.3,7.6,22,13,-,39,-,41,1,100,White,Yes,430300,43,0300,13613,13613,3,20,801130,-1,-1,-1,
Gold Waistwrap,,-,Leg,Waistcloth worn by researchers of the Golden Order,Waistwrap made in the image of Erdtree branches. A minimal adornment made by Lord Goldmask's disciples. Those disciples have long since left him.,4.4,4.0,3.8,3.8,3.0,7.6,7.4,7.6,8.1,35,15,-,56,-,56,3,500,White,Yes,1040300,104,0300,14783,14783,3,20,801140,-1,-1,-1,
Perfumer Sarong,,-,Leg,Sarong of an Erdtree Capital perfumer,"Sarong of an Erdtree Capital perfumer. In times past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.",2.5,2.3,3.4,3.0,2.3,7.3,6.8,7.1,7.3,37,11,-,39,-,41,1,500,White,Yes,90300,9,0300,13063,13063,3,30,802000,-1,-1,-1,
Traveler's Slops,,-,Leg,Trousers of an unaffiliated perfumer,"Slops of a traveling perfumer of no renown. An associate of a healer, he is said to be in search of new aromatics and flower gardens, in hopes of treating Misbegotten, Omen, and all those seen as impure.",2.5,3.0,3.0,2.3,1.5,7.3,7.3,7.1,7.3,34,13,-,41,-,39,1,100,Purple,Yes,100300,10,0300,13073,13073,3,30,802010,-1,-1,-1,
Depraved Perfumer Trousers,,-,Leg,Boots of a depraved perfumer gripped by madness,Trousers worn by depraved perfumers. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,4.3,3.9,3.9,3.7,3.3,7.8,7.5,7.3,7.5,46,15,-,40,-,58,2,500,White,Yes,540300,54,0300,13743,13743,3,30,802020,-1,-1,-1,
Consort's Trousers,,-,Leg,"Skirt of Tanith, Lady of the Volcano Manor","Fine white trousers, perfectly suited for wearing beneath a silk robe.",2.5,3.0,2.3,2.3,3.0,7.4,7.1,7.1,7.3,29,15,-,41,-,39,1,500,White,Yes,960300,96,0300,14593,14593,3,30,802030,-1,-1,-1,
Fur Leggings,,-,Leg,Leggings worn by worshippers of stag specters,"Leggings fashioned from bristly pelts. Worn by ancestral follower warriors. The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls.",3.1,3.4,3.8,3.4,3.4,3.8,4.0,5.0,4.0,39,26,-,34,-,24,1,100,White,Yes,300300,30,0300,13423,13423,3,30,802040,-1,-1,-1,
